game_id,league_id,team,team_id,opponent,opponent_id,game_date,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate,second_chance_pts,bench_pts,fast_break_pts,points_in_paint,pts_off_turnovers
741605,,אליצור יבנה,,,,,87,26,48,54.2,4,20,20.0,30,68,44.1,23,34,67.6,36,13,49,20,26,7,11,24,6,1,118,10,9,18,48,13
741605,,מכבי חיפה גיא נתן,,,,,76,20,49,40.8,6,29,20.7,26,78,33.3,18,24,75.0,31,18,49,26,20,4,10,18,1,6,68,19,36,14,32,11
741602,,הפועל חיפה,,,,,79,11,29,37.9,12,42,28.6,23,71,32.4,21,27,77.8,24,17,41,20,22,14,9,16,0,3,85,15,13,14,18,21
741602,,אליצור שומרון,,,,,74,22,34,64.7,7,19,36.8,29,53,54.7,9,16,56.2,32,5,37,23,19,4,18,15,3,0,79,4,18,15,36,7
741606,,מכבי אשדוד,,,,,92,29,43,67.4,9,27,33.3,38,70,54.3,7,10,70.0,26,13,39,19,18,7,15,24,4,1,114,17,10,14,56,17
741606,,א.ס. עירוני אשקלון,,,,,88,19,51,37.3,12,28,42.9,31,79,39.2,14,17,82.4,21,22,43,18,19,7,12,17,1,4,90,20,34,12,34,20
1_741605,1,אליצור יבנה,cc51233b8820,מכבי חיפה גיא נתן,d883af1eac16,,87,26,48,54.2,4,20,20.0,30,68,44.1,23,34,67.6,36,13,49,20,26,7,11,23,7,1,118,10,9,20,48,13
1_741605,1,מכבי חיפה גיא נתן,d883af1eac16,אליצור יבנה,cc51233b8820,,76,20,49,40.8,6,29,20.7,26,78,33.3,18,24,75.0,31,19,50,26,20,4,10,21,1,7,71,19,36,14,32,11
1_741602,1,הפועל חיפה,535730fc8846,אליצור שומרון,6fe3609c50f2,,79,11,29,37.9,12,42,28.6,23,71,32.4,21,27,77.8,24,17,41,20,22,14,9,16,0,3,85,15,13,14,18,21
1_741602,1,אליצור שומרון,6fe3609c50f2,הפועל חיפה,535730fc8846,,74,22,34,64.7,7,19,36.8,29,53,54.7,9,16,56.2,32,5,37,23,19,4,18,15,3,0,79,4,18,15,36,7
1_741606,1,מכבי אשדוד,dca52004fb4f,א.ס. עירוני אשקלון,9810d8dd0df2,,92,29,43,67.4,9,27,33.3,38,70,54.3,7,10,70.0,24,13,37,19,18,7,14,24,4,1,113,17,10,14,56,17
1_741606,1,א.ס. עירוני אשקלון,9810d8dd0df2,מכבי אשדוד,dca52004fb4f,,88,19,51,37.3,12,28,42.9,31,79,39.2,14,17,82.4,21,24,45,18,19,6,12,18,1,4,92,20,34,14,34,20
1_741607,1,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,מ.ס צפת,1f1048db2f34,,90,20,39,51.3,12,27,44.4,32,66,48.5,14,21,66.7,28,8,36,20,18,7,11,22,2,1,102,11,30,20,36,18
1_741607,1,מ.ס צפת,1f1048db2f34,הפועל מגדל העמק/יזרעאל,189ad0fce2b7,,80,19,36,52.8,10,29,34.5,29,65,44.6,12,17,70.6,28,9,37,18,20,2,15,24,1,2,88,12,18,13,38,10
1_741601,1,מ.כ עוטף דרום,784ddf8d2dae,א.ס. אשקלון/קרית גת,99710d529fc8,,94,20,33,60.6,7,25,28.0,27,58,46.6,33,43,76.7,28,9,37,22,30,11,15,27,2,1,122,8,25,28,40,18
1_741601,1,א.ס. אשקלון/קרית גת,99710d529fc8,מ.כ עוטף דרום,784ddf8d2dae,,87,23,47,48.9,9,23,39.1,32,70,45.7,14,17,82.4,27,11,38,30,22,7,18,14,1,2,78,14,17,17,42,10
