game_id,team,player,minutes,points,fg_made,fg_attempted,fg_pct,fg2_made,fg2_attempted,fg2_pct,fg3_made,fg3_attempted,fg3_pct,ft_made,ft_attempted,ft_pct,def_rebounds,off_rebounds,total_rebounds,assists,steals,turnovers,fouls,fouls_drawn,blocks,blocked,efficiency,plus_minus
26394,הפועל גליל עליון,סיריל לנג'יוויין,30,7,2,4,50,2,4,50,0,0,0,3,6,50,7,2,9,2,0,4,2,3,0,0,10,10
26394,הפועל גליל עליון,ג'יילן בלייקס,28,19,6,9,67,4,5,80,2,4,50,5,9,56,5,1,6,4,3,4,3,5,0,0,23,16
26394,הפועל גליל עליון,דיאנדרה גולסטון,29,14,5,13,38,2,7,29,3,6,50,1,3,33,5,2,7,4,2,5,3,1,0,2,8,0
26394,הפועל גליל עליון,שחר עמיר,31,11,3,7,43,2,5,40,1,2,50,4,5,80,2,0,2,2,1,0,2,2,0,0,11,11
26394,הפועל גליל עליון,אייזיה בראון,11,5,2,6,33,1,3,33,1,3,33,0,0,0,0,0,0,0,1,1,2,2,0,2,-1,-5
26394,הפועל גליל עליון,שחר דורון,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,2
26394,הפועל גליל עליון,יהל מלמד,31,6,3,9,33,3,7,43,0,2,0,0,0,0,5,3,8,2,2,2,2,1,1,0,10,5
26394,הפועל גליל עליון,נועם אביבי,17,6,2,2,100,1,1,100,1,1,100,1,2,50,4,0,4,1,0,2,1,1,0,0,8,3
26394,הפועל גליל עליון,סם אלג'יקי,22,7,3,7,43,2,4,50,1,3,33,0,0,0,3,1,4,1,2,0,3,1,0,2,6,8
26394,הפועל גליל עליון,"סה""כ",200,75,26,57,46,17,36,47,9,21,43,14,25,56,36,12,48,16,11,19,21,16,1,6,79,0
26394,הפועל גילת טלקום העמק,קיילר אדוארדס,30,13,4,12,33,2,5,40,2,7,29,3,6,50,0,0,0,3,4,7,0,4,0,0,6,-9
26394,הפועל גילת טלקום העמק,קיידן שדריק,18,1,0,3,0,0,2,0,0,1,0,1,2,50,2,3,5,0,0,1,0,3,2,0,6,-14
26394,הפועל גילת טלקום העמק,אלייז'ה צ'יילדס,31,13,6,11,55,5,9,56,1,2,50,0,0,0,4,1,5,1,3,0,2,1,3,0,19,-9
26394,הפועל גילת טלקום העמק,ארון ווילר,20,8,3,7,43,1,1,100,2,6,33,0,2,0,7,1,8,1,1,1,4,1,0,0,8,-6
26394,הפועל גילת טלקום העמק,רועי נציה,21,6,2,6,33,0,0,0,2,6,33,0,0,0,3,0,3,2,1,0,2,1,0,0,7,9
26394,הפועל גילת טלקום העמק,קמרון הנרי,16,2,0,5,0,0,2,0,0,3,0,2,4,50,1,1,2,4,2,0,0,2,1,0,6,-5
26394,הפועל גילת טלקום העמק,גיל נויוביץ',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,-1
26394,הפועל גילת טלקום העמק,לוקאס גולדנברג,29,5,2,5,40,2,3,67,0,2,0,1,2,50,1,0,1,3,1,1,4,4,0,1,4,-6
26394,הפועל גילת טלקום העמק,ניב משגב,31,17,5,14,36,0,4,0,5,10,50,2,2,100,4,2,6,1,0,4,5,3,0,0,9,-9
26394,הפועל גילת טלקום העמק,"סה""כ",200,65,22,63,35,10,26,38,12,37,32,9,18,50,25,9,34,17,12,16,19,19,6,1,67,0
