team,team_id,league_id,games_played,pts,pts_rank,pts_allowed,pts_allowed_rank,2ptm,2ptm_rank,2pta,2pta_rank,3ptm,3ptm_rank,3pta,3pta_rank,fgm,fgm_rank,fga,fga_rank,ftm,ftm_rank,fta,fta_rank,def,def_rank,off,off_rank,reb,reb_rank,pf,pf_rank,pfa,pfa_rank,stl,stl_rank,to,to_rank,ast,ast_rank,blk,blk_rank,blka,blka_rank,rate,rate_rank,bench_pts,bench_pts_rank,fast_break_pts,fast_break_pts_rank,points_in_paint,points_in_paint_rank,possessions,possessions_rank,2pt_pct,2pt_pct_rank,3pt_pct,3pt_pct_rank,fg_pct,fg_pct_rank,ft_pct,ft_pct_rank
אליצור חולון,907,11,2,68.5,6,72.0,7,16.5,9,42.0,4,9.0,2,29.5,1,25.5,4,71.5,1,8.5,8,10.5,10,29.0,4,16.5,1,45.5,2,13.5,1,16.5,6,7.5,8,18.0,7,19.5,5,1.0,8,2.0,3,77.0,4,22.0,2,10.5,7,27.0,5,77.6,4,39.3,10,30.5,7,35.7,9,81.0,3
אליצור נוה דוד רמלה,2100,11,1,65.0,9,70.0,5,21.0,2,45.0,2,2.0,10,16.0,10,23.0,8,61.0,8,17.0,1,20.0,3,22.0,9,11.0,6,33.0,9,18.0,7,17.0,5,9.0,6,15.0,4,14.0,8,2.0,6,2.0,3,64.0,7,11.0,6,10.0,8,32.0,3,73.8,10,46.7,3,12.5,10,37.7,7,85.0,1
בנות פתח תקווה,181,11,1,66.0,7,84.0,10,17.0,5,42.0,4,8.0,5,19.0,8,25.0,6,61.0,8,8.0,9,13.0,7,20.0,10,6.0,9,26.0,10,16.0,5,15.0,7,9.0,6,16.0,5,20.0,3,4.0,2,3.0,7,64.0,7,8.0,8,7.0,9,24.0,8,76.7,6,40.5,8,42.1,1,41.0,5,61.5,9
הפועל באר שבע/דימונה,10197,11,1,71.0,4,81.0,9,18.0,4,39.0,7,10.0,1,25.0,6,28.0,3,64.0,5,5.0,10,13.0,7,32.0,3,13.0,5,45.0,3,27.0,10,15.0,7,7.0,10,25.0,10,20.0,3,3.0,5,5.0,9,60.0,10,16.0,5,15.0,3,26.0,6,81.7,1,46.2,4,40.0,2,43.8,3,38.5,10
הפועל לב ירושלים פארק בית הכרם,7735,11,2,66.0,7,70.0,5,15.5,10,34.5,10,7.5,6,27.0,2,23.0,8,61.5,7,12.5,5,18.5,5,25.5,8,13.5,4,39.0,6,20.0,8,18.0,4,10.5,3,18.0,7,12.5,10,0.5,9,3.5,8,60.5,9,9.5,7,13.0,4,18.0,10,74.1,9,44.9,7,27.8,8,37.4,8,67.6,8
הפועל ראשון לציון,520,11,2,65.0,9,72.5,8,17.0,5,42.5,3,5.0,9,25.5,4,22.0,10,68.0,3,16.0,3,22.5,1,28.5,5,15.0,2,43.5,5,15.5,4,20.0,2,9.5,5,14.5,3,14.0,8,4.0,2,2.0,3,71.5,5,4.0,9,12.0,6,29.0,4,77.4,5,40.0,9,19.6,9,32.4,10,71.1,7
מכבי אשדוד נשים,194,11,2,76.5,3,69.0,3,17.0,5,37.5,8,8.5,4,25.5,4,25.5,4,63.0,6,17.0,1,22.5,1,26.5,7,9.0,7,35.5,8,15.0,2,23.0,1,11.5,2,12.0,1,16.0,6,5.5,1,2.0,3,96.0,3,20.0,4,12.5,5,20.0,9,75.9,7,45.3,6,33.3,4,40.5,6,75.6,5
מכבי חיפה הפניקס,864,11,2,69.0,5,69.5,4,17.0,5,37.0,9,6.5,8,19.0,8,23.5,7,56.0,10,15.5,4,19.0,4,28.0,6,8.5,8,36.5,7,22.0,9,19.5,3,7.5,8,20.0,9,15.0,7,0.5,9,1.0,2,68.5,6,20.5,3,7.0,9,26.0,6,75.9,7,45.9,5,34.2,3,42.0,4,81.6,2
מכבי כרמיאל,1219,11,1,79.0,2,67.0,2,21.0,2,41.0,6,9.0,2,27.0,2,30.0,2,68.0,3,10.0,7,13.0,7,38.0,1,6.0,9,44.0,4,15.0,2,10.0,10,13.0,1,13.0,2,21.0,2,2.0,6,0.0,1,100.0,2,1.0,10,20.0,1,36.0,2,80.7,2,51.2,1,33.3,4,44.1,2,76.9,4
מכבי עירוני רמת גן,210,11,2,79.5,1,61.0,1,24.0,1,47.0,1,7.0,7,22.5,7,31.0,1,69.5,2,10.5,6,14.5,6,36.0,2,14.0,3,50.0,1,16.5,6,14.5,9,10.0,4,16.0,5,23.0,1,3.5,4,5.0,9,100.5,1,24.5,1,18.0,2,43.0,1,77.9,3,51.1,2,31.1,6,44.6,1,72.4,6
