game_id,league_id,team,team_id,opponent,opponent_id,game_date,pts,2ptm,2pta,2pt_pct,3ptm,3pta,3pt_pct,fgm,fga,fg_pct,ftm,fta,ft_pct,def,off,reb,pf,pfa,stl,to,ast,blk,blka,rate,bench_pts,fast_break_pts,points_in_paint,נקודות מהזדמנות שנייה:,נקודות מאיבודים:
11_741332,11,מכבי חיפה הפניקס,,הפועל לב ירושלים פארק בית הכרם,,29/09/2025,68,19,33,57.6,5,21,23.8,24,54,44.4,15,20,75.0,26,8,34,21,21,8,22,16,1,0,70,13,8,28,8,17
11_741332,11,הפועל לב ירושלים פארק בית הכרם,,מכבי חיפה הפניקס,,29/09/2025,65,16,38,42.1,7,26,26.9,23,64,35.9,12,21,57.1,21,17,38,21,21,13,22,13,0,1,56,16,10,20,17,22
11_741329,11,מכבי כרמיאל,1219.0,אליצור חולון,,29/09/2025,79,21,41,51.2,9,27,33.3,30,68,44.1,10,13,76.9,38,6,44,15,10,13,13,21,2,0,100,1,20,36,9,14
11_741329,11,אליצור חולון,,מכבי כרמיאל,1219.0,29/09/2025,67,16,47,34.0,10,37,27.0,26,84,31.0,5,9,55.6,31,21,52,10,15,9,16,20,0,2,73,16,9,26,15,18
11_741328,11,הפועל באר שבע/דימונה,10197.0,מכבי אשדוד נשים,,29/09/2025,71,18,39,46.2,10,25,40.0,28,64,43.8,5,13,38.5,32,13,45,27,15,7,25,20,3,5,60,16,15,26,14,15
11_741328,11,מכבי אשדוד נשים,,הפועל באר שבע/דימונה,10197.0,29/09/2025,81,14,34,41.2,9,26,34.6,23,60,38.3,26,33,78.8,26,8,34,15,27,14,14,20,5,3,105,24,15,18,7,27
11_741331,11,מכבי עירוני רמת גן,,הפועל ראשון לציון,,29/09/2025,75,20,46,43.5,7,27,25.9,27,73,37.0,14,18,77.8,40,16,56,18,13,10,15,23,4,6,92,28,14,38,6,15
11_741331,11,הפועל ראשון לציון,,מכבי עירוני רמת גן,,29/09/2025,56,13,45,28.9,6,22,27.3,19,67,28.4,12,19,63.2,31,12,43,13,18,8,16,15,6,4,58,3,9,20,6,8
11_741337,11,מכבי אשדוד נשים,,הפועל לב ירושלים פארק בית הכרם,,09/10/2025,72,20,41,48.8,8,25,32.0,28,66,42.4,8,12,66.7,27,10,37,15,19,9,10,12,6,1,87,16,10,22,10,15
11_741337,11,הפועל לב ירושלים פארק בית הכרם,,מכבי אשדוד נשים,,09/10/2025,67,15,31,48.4,8,28,28.6,23,59,39.0,13,16,81.2,30,10,40,19,15,8,14,12,1,6,65,3,16,16,12,9
11_741335,11,בנות פתח תקווה,181.0,מכבי עירוני רמת גן,,09/10/2025,66,17,42,40.5,8,19,42.1,25,61,41.0,8,13,61.5,20,6,26,16,15,9,16,20,4,3,64,8,7,24,4,14
11_741335,11,מכבי עירוני רמת גן,,בנות פתח תקווה,181.0,09/10/2025,84,28,48,58.3,7,18,38.9,35,66,53.0,7,11,63.6,32,12,44,15,16,10,17,23,3,4,109,21,22,48,13,22
11_741334,11,הפועל ראשון לציון,,מכבי חיפה הפניקס,,09/10/2025,74,21,40,52.5,4,29,13.8,25,69,36.2,20,26,76.9,26,18,44,18,22,11,13,13,2,0,85,5,15,38,22,14
11_741334,11,מכבי חיפה הפניקס,,הפועל ראשון לציון,,09/10/2025,70,15,41,36.6,8,17,47.1,23,58,39.7,16,18,88.9,30,9,39,23,18,7,18,14,0,2,67,28,6,24,8,10
11_741336,11,אליצור חולון,,אליצור נוה דוד רמלה,2100.0,09/10/2025,70,17,37,45.9,8,22,36.4,25,59,42.4,12,12,100.0,27,12,39,17,18,6,20,19,2,2,81,28,12,28,13,20
11_741336,11,אליצור נוה דוד רמלה,2100.0,אליצור חולון,,09/10/2025,65,21,45,46.7,2,16,12.5,23,61,37.7,17,20,85.0,22,11,33,18,17,9,15,14,2,2,64,11,10,32,13,13
